KWX KAY_DUB
KYE SKYCUBE

LAE LANCO
LAK RED_LAKE
LAN LAN_CHILE
LBQ LABQUEST
LCO LAN_CARGO
LET MEXALE
LFA BUCKY
LIA LIAT
LJY ELJAY
LKF LAKE_FRONT
LN  MEDEVAC
LNE LAN_ECUADOR
; shut down APR 2020  LOF WATERSKI
LOT LOT
LPE LAN_PERU
LRC LACSA
LRT LIBERTY_JET
LRTST LEAR_TEST
LTG TAM_CARGO
LXJ FLEXJET
LYC LYNDEN   1 999
LYM KEY_LIME

MAL MORNINGSTAR
MDS MIDSOUTH
MGE MAGELLAN
MHF MARITIME
MJR MAJOR
MJS JET_SAVER
MLA MILE_AIR
MLN MILLENNIUM
MMD MERMAID
MMY MARMOT
MNU MAINER
MRA MARTEX
MSR EGYPTAIR
MTH RESEARCH
MTN MOUNTAIN
MTU BLUE_RAIDER
MUI TRANSAIR
MVK MINN_STATE
MVP ALLSTAR
MWT MIDWEST
MXY MOXY

N   NOVEMBER
NAC YUKON
NASA NASA
NCA NIPPON_CARGO
NCJ NORTH_CENTRAL
NCR NATIONAL_CARGO
NDL NEEDLE
NDU SIOUX
NEW NORTHEASTERN
NGF ANGEL_FLIGHT
NJE FRACTION
NJM NORTHERN_JET
NLA PENINSULA
NLI NORTH_LINK
NRL NOLINOR
NKS SPIRIT_WINGS
NKT NORTH_COUNTRY
NOAA NOAA
NOJ NOVAJET
NOS MOONFLOWER
NSH NORTHSHORE
NSI NORTHERN_SKIES
NTW NORTHWOODS
NWF SECOND_CITY

OAE OMNI
OCN OCEAN
OKC THUNDER_WINGS
OLV OLIVIA
OMD NOMADIC
OPT OPTIONS
OST OSTATE
OTA OUTLAW
OUA CRIMSON
OZT OZARK_TECH

PAC POLAR
PAL PHILIPPINE
PAT PAT
PCM PAC_VALLEY
PDT PIEDMONT 5901 6199
PEG PEG_JET
PFT PARAGON_FLIGHT
PGN PEREGRINE
PHJ PEACH_JET
PHX PHOENIX_NORTH
PJC PITTSBURGH_JET
PKW PLATINUM_WEST
POE PORTER
PRE PRECISION
PRD PRESIDENTIAL
PRY PRIORITY
PUL PULSE
PVO PRIVATE_ORANGE
PWA PRIESTER
PXG PHOENIX_GLOBAL
PXT PAC_COAST

QAI CHICKPEA
QFA QANTAS
QTR QATARI
QXE HORIZON 2001 2599

RAM ROYAL_AIR_MOROC
RAX AIR_ROYAL
RCA RICHLAND
RDS RHOADES_EXPRESS
REA RED_DOMINICANA
REH REACH_MED
RGY REGENCY
RIX RECTRIX
RJA JORDANIAN
RJC COLUMBIA_JET
RJE REYNOLDS_JET
RKS ROCK_STAR
RLI RELIANT
RLJ REAL_JET
RNI RENNIA
ROI AVIOR
ROM ROME
ROU ROUGE
RPA BRICKYARD 3301 5899
RQT AIR_QUEST
RRR ASCOT
RSP RED_STRIPE
RVF RAVEN_FLIGHT   1 999
RVJ RIVERS_JET
RYA RYAN_AIR
RZO AZORES

SAA SPRINGBOK
SAS SCANDINAVIAN
SBE STARBASE
SBM SKY_BAHAMAS
SBS SEABORNE
SCM SCREAMER
SCN SILICON
SCX SUN_COUNTRY
SDU SANTOS
SFX SWAMP_FOX
SFY SKY_FLIGHT
SHH SKY_HIGH
SIA SINGAPORE
SIL SLIVER_WINGS
SIS SILVER_SPEED
SIY SERENITY
SJE SUN_JOURNEY
SJJ SPIRIT_JET
SKL SKY_CHARTER
SKQ SKYLAB
SKW SKYWEST 3001 6499
SKZ SKYWAY
SLH SILVERHAWK
SLI COSTERA
SLM SURINAM
SLQ SKYLINK
SNC NIGHT_CARGO
SOO SOUTHERN_AIR
SPA SIERRA_PACIFIC
SPR SPEEDAIR
SRY STINGRAY
STT SAWTOOTH
STV SATURN
STY ALTAIR
SUB SUB_AIR
SUP SUNSPEED
SUS SUNSCAN
SVA SAUDIA
SVL SUN_DEVIL
SVW SILVER_ARROWS
SVX SECURITY_AIR   1 99
SWA SOUTHWEST
SJX STARWALKER
SWF SWAMP_FOX
SWG SUNWING
SWQ SWIFT_FLIGHT
SWR SWISS
SXL SONIC
SZN SENSA

TAI TACA
TAM TAM
TAP AIR_PORTUGAL
; TCX KESTRAL before 2019
; out of business 2019 TCX THOMAS_COOK
TEK ATECH
TEXDOT TEXDOT
TFF TALON_FLIGHT
TFL ORANGE
THT TAHITI
THY TURKISH
THU AIR_THUNDER
TIV THRIVE
TLK STARLINK
TMB TOMBO
TMC TRAILBLAZER
TN  TANGO_NOVEMBER
TNV TRANSNORTHERN
TOM TOMJET
TOR HOME_RUN
TPA TAMPA
TSC TRANSAT
TSU TRANSAUTO
TSS TRI-STATE
TTE TETON
TWY TWILIGHT
TZP ZIPPY

UAE EMRIATES
UAL UNITED
UCA COMMUTAIR 4101 4999
UJC ULTIMATE
UKL UKRAINE_ALLIANCE
ULA ULTRAJET
UNI UNICARE
UPS UPS
USC STAR_CHECK
UTN UKRAINE
UZB UZBEK

VAL VOYAGEUR
VET POINSETT_AIR
VHT VEGAS_HEAT
VIR VIRGIN
VIV AEROENLACES
VJT VISTA
VKN TRUE_NORTH
VMP VAMPIRE
VOC COSTA_RICAN
VOI VOLARIS
VOS JETSAL
VOZ VELOCITY
; merge ASA VRD REDWOOD
VRT AVERITT
VTE VOLUNTEER
VTM AERONAVES
VTS EVERTS
VVC VIVA_COLUMBIA

WAE WESTERN_EXPRESS
WAL DORAL
WAV WARBELOW
WCC WEST_COAST
WCP WHITECAP
WDY WINDY_CITY
WEN ENCORE
WFL BLUE_WORLD
WGN WESTERN_GLOBAL
WIA WINDWARD
WIG WIGGINS
WIS WISCAIR
WJA WESTJET
; may be using LND or N-number
WLDLD WILDLAND
WMA WATERMAKERS
WML MARLIN
WMN WATERMAN
WOW WOW_AIR
WRF WRIGHT_FLYER
WSN WINGSPAN
WSP WHISPER_JET
WST WESTERN_AIR
WSW SWOOP
WWI WORLDWIDE
WZM MATILDA

XA  XA
XB  XB
XAA ROCKFISH
XAX XANADU
XCN FIRE_LEAD
XEN ZEN_JET
; out of business 2019 XLF STARWAY
XLJ XCEL_JET
XLS EXCELAIRE
XOJ XOJET
XSM AIRSMART
XSN SANTANA
XSR AIR_SHARE

YEL YELLOWSTONE
YZR YANGTZE_RIVER
